ap_name,avg_client_count,avg_cpu_usage_ratio,avg_memory_usage_ratio,avg_signal_5g_dbm,avg_signal_24g_dbm,Cluster
CR-NPK2-3:67cb,3.1291517185510935,0.0723265002290425,0.4584108320796203,-56.80815491941304,-60.32728512960436,2
CRUTL34-CENTRE,6.9135723431498075,0.1118753528773072,0.5079964102564103,-55.53988513082323,-64.68310428455942,1
CRUTL34-PANTRY,2.4462227912932137,0.1100409554831704,0.4951678205128205,-56.717562724014336,-50.07097457627118,2
CSR-AC-LR,1.068857771091309,0.0425763857077415,0.4916965166068742,-56.64565587734242,-62.623655913978496,2
DEPT-ASET U6-Pro,5.417302798982188,0.060993321470937,0.6900460967781008,-51.39388264669164,-95.0,1
DERMAGA-PVI,1.279018632102766,0.0297063063063062,0.414569633144312,-50.8101641289302,-76.49613185334678,2
DERSUS,2.0103241792277515,0.0381893569844788,0.4131335810113519,-63.706074639062926,-67.6153054221002,2
DIKLAT-BATANGHARI,0.0235668789808917,0.012007238462362,0.4767324410452517,-56.63636363636363,-95.0,3
DIKLAT-GBARRIER,1.672611464968153,0.0648330656387193,0.4502448056086679,-50.042735042735046,-95.0,3
DIKLAT-KELINGI,0.1280662631411277,0.0054321979434447,0.4295738603761555,-56.99107142857143,-95.0,3
DIKLAT-KEUASET,0.0366358712965912,0.0285567480719793,0.4123843162256933,-63.9009900990099,-95.0,3
DIKLAT-LAKITAN,0.2417197452229299,0.0054938858550165,0.4268900573613766,-53.81954887218045,-95.0,3
DIKLAT-LEMATANG,0.0238853503184713,0.0242527465467394,0.6211315487571701,-64.98969072164948,-95.0,3
DIKLAT-LOBBY,0.0487416374641605,0.0081479005998285,0.3227020082881733,-63.824175824175825,-95.0,3
DIKLAT-OGAN,0.4054140127388535,0.0081833601027946,0.4299945188017846,-54.84318181818182,-95.0,3
DIKLAT-RAWAS,1.1621019108280255,0.0066164685726523,0.4269418738049712,-45.755080213903746,-95.0,3
DIKLAT-RESTO,0.0398215992354252,0.0065338688946015,0.4277004144086707,-56.17567567567568,-95.0,3
DIKLAT-SBUASET,4.909554140127389,0.0498398864974836,0.697746845124283,-55.967845659163984,-95.0,3
DIKLAT-SDKU,0.1717107359031538,0.0116797129391602,0.748020082881734,-61.83766233766234,-95.0,3
DIKLAT-SHARING,0.0060528830837846,0.0035512478577549,0.4258520879821485,-52.0,-95.0,3
DIKLAT-STAF1,0.3125199107996177,0.0073552913453298,0.4357519923493784,-59.012244897959185,-95.0,3
DIKLAT-STAF2,1.7627388535031847,0.0093843880501123,0.4388579987253027,-53.329317269076306,-95.0,3
DIKLAT-STAF3,0.532484076433121,0.0675551986294035,0.458091395793499,-48.387142857142855,-95.0,3
DIVISI-ASET,0.0503361802653098,0.0136450453655932,0.3848177656675748,-65.15254237288136,-95.0,3
GREEN BARRIER,2.4474736459469284,0.0676048398576512,0.4479089934593022,-50.04663518299882,-95.0,2
GU1-L-HUMAS,1.1749797477143848,0.0331609940448923,0.3755713285499363,-51.624500105241005,-95.0,3
GU1-R-PJASA,1.1572734637194768,0.0344075431363566,0.3539595880106468,-54.02713054580275,-95.0,3
GU2-C-PMP,0.6912394398796435,0.0080839670178652,0.4645799097326697,-57.21812791190174,-95.0,3
GU2-L-MANRISK,2.3082976507348687,0.0436777141548327,0.3620378891332022,-54.182535211267606,-95.0,3
GU2-L-SVPTKMR,1.3456775836130077,0.021134615971904,0.4223119083439416,-54.78521126760563,-95.0,3
GU2-R-HUKUM,1.7952783242680246,0.0375456634600701,0.3560830170119199,-56.53310104529617,-95.0,3
GU2-R-SEKPER,0.2817960884156926,0.0098311268896014,0.7333156116190256,-57.45551330798479,-95.0,3
GU3-C-RAPAT,0.358407591713922,0.0107355855855855,0.7436109130887629,-57.42784667418264,-95.0,3
GU3-L-KEU,3.1650271959263976,0.0384501526950679,0.3676535586159009,-55.89705031810295,-95.0,3
