ap_name,avg_client_count,avg_cpu_usage_ratio,avg_memory_usage_ratio,avg_signal_5g_dbm,avg_signal_24g_dbm
9c:05:d6:a5:8f:17,,,,-55.2,
9c:05:d6:a5:91:dd,,,,-47.2,
AC Pro,0.0,0.0,0.29012499999999997,-76.0,-59.0
AIRMINUMPSP,0.08633260039347297,0.018094136509390714,0.4026982062261312,-63.585642317380355,
ANX1-C-LOBBY,0.8819581067006134,0.04254764849595353,0.34631197778034944,-61.280967858432646,
ANX1-L-SISMAN,0.891563476449485,0.027339151015422163,0.3529545943756509,-51.632499006754074,
ANX1-L-UMUM1,0.10496470315935656,0.02692069781646049,0.34666609767388035,-62.32670807453416,
ANX1-L-UMUM2,0.6669366971415346,0.02170445869598405,0.355514656868418,-54.70566801619433,
ANX1-R-TIINFRA,1.2615083251714005,0.01362636039798548,0.7459965711486652,-57.11188228761799,
ANX1-R-TIRAPAT,1.661497511862053,0.02148458543289048,0.4816643386182154,-52.72349077259931,
ANX1-R-TISTF,15.386992246267793,0.08039286914032673,0.3762393704432357,-44.579147752233126,
ANX1-R-TIVP,1.7905335030667746,0.05397433959383108,0.45583923157042006,-57.5046875,
ANX2-C-AUDTRM,0.836245804883694,0.007222186593373001,0.33438717741002194,-63.540723981900456,
ANX2-L-BIC,1.4117578983913899,0.0562028935715376,0.3614958685337345,-53.83088512241055,
ANX2-R-KORIDOR,0.356208772132855,0.025636104748816592,0.42613970605254015,-69.70876874148115,
ANX2-R-PB-L,1.771901400300891,0.033080516109329626,0.3671599641245226,-54.275823562255724,
ANX2-R-PB-R,2.957412336535123,0.03718753244770191,0.3592362226594144,-58.367743343518114,
AUDMUSI-CENTRE-L,0.7205184585117463,0.005988341731562058,0.42815556069899313,-58.0640756302521,
AUDMUSI-CENTRE-R,1.1864367550052077,0.026627049931287197,0.553396458743201,-57.40329218106996,
AUDMUSI-FRONT-L,0.022219650503413957,0.006517651549854902,0.4301466496933225,-64.16379310344827,
AUDMUSI-FRONT-R,0.0004629093854877908,0.00444782409528171,0.4222840643444045,-62.529411764705884,
AUDMUSI-REAR-L,0.0,5.735226752175887e-05,0.0011699571808818422,,
AUDMUSI-REAR-R,0.0006943640782316862,0.003468582989769411,0.4176255583844462,-56.88235294117647,
BATANGHARI,1.7202835332606325,0.016269804270462592,0.4810927779796511,-52.991774383078734,
BDG-PJG-L,6.616229508196722,0.07899130577968051,0.4603960642833716,-64.4691111111111,-71.07621751474122
BDG-PJG-R,4.564754098360655,0.058595334540863894,0.6636230239422761,-56.76335691632105,-58.49975124378109
BEDENG-PANJANG,3.111723052714398,0.0457332706766917,0.6642496658805032,-58.145969498910674,-60.418326693227094
BKLMESIN-LT1,1.2162944103691702,0.022527317147656083,0.6384447401921074,-63.16743119266055,-55.982055156781264
BKLMESIN-LT2,2.2417544265709988,0.03179968697511068,0.3499556069899317,-59.49132075471698,-43.652419937394654
BKLTI-01-FRONT,2.4413840990626086,0.07233721178805921,0.4608408286078,-53.5483188337644,
BKLTI-02-TEK,1.4929984955444973,0.014893579172392674,0.7476153628052309,-52.21496924128503,
BKLTI-03-INT,0.47749103113065616,0.06172101084134978,0.44661805346603395,-52.95697796432319,
BKLTI-04-UKS,0.45341974308529104,0.03835590929912959,0.4319132970720981,-68.86978131212723,
COMMANDCENTRE,2.620182849207268,0.013564521300961937,0.44805940863326005,-47.4725845410628,-47.47359307359307
CR-NPK2-3:67cb,3.1291517185510935,0.07232650022904255,0.45841083207962036,-56.80815491941304,-60.32728512960436
CRUTL34-CENTRE,6.9135723431498075,0.11187535287730724,0.5079964102564103,-55.53988513082323,-64.68310428455942
CRUTL34-PANTRY,2.4462227912932137,0.11004095548317043,0.4951678205128205,-56.717562724014336,-50.07097457627118
CSR-AC-LR,1.068857771091309,0.042576385707741596,0.4916965166068742,-56.64565587734242,-62.623655913978496
DEPT-ASET U6-Pro,5.417302798982188,0.06099332147093709,0.6900460967781008,-51.39388264669164,
DERMAGA-PVI,1.279018632102766,0.029706306306306267,0.414569633144312,-50.8101641289302,-76.49613185334678
DERSUS,2.0103241792277515,0.03818935698447889,0.4131335810113519,-63.706074639062926,-67.6153054221002
DIKLAT-BATANGHARI,0.02356687898089172,0.012007238462362098,0.47673244104525175,-56.63636363636363,
DIKLAT-GBARRIER,1.672611464968153,0.06483306563871931,0.4502448056086679,-50.042735042735046,
DIKLAT-KELINGI,0.12806626314112773,0.005432197943444704,0.4295738603761555,-56.99107142857143,
DIKLAT-KEUASET,0.03663587129659127,0.028556748071979363,0.4123843162256933,-63.9009900990099,
DIKLAT-LAKITAN,0.24171974522292994,0.005493885855016574,0.42689005736137664,-53.81954887218045,
DIKLAT-LEMATANG,0.02388535031847134,0.024252746546739454,0.6211315487571701,-64.98969072164948,
DIKLAT-LOBBY,0.04874163746416056,0.00814790059982854,0.32270200828817336,-63.824175824175825,
DIKLAT-OGAN,0.4054140127388535,0.008183360102794685,0.4299945188017846,-54.84318181818182,
DIKLAT-RAWAS,1.1621019108280255,0.006616468572652309,0.42694187380497123,-45.755080213903746,
DIKLAT-RESTO,0.039821599235425297,0.0065338688946015005,0.4277004144086707,-56.17567567567568,
DIKLAT-SBUASET,4.909554140127389,0.049839886497483624,0.697746845124283,-55.967845659163984,
